year,Population,Population growth,Surface area,GNI per capita_Atlas method,GNI per capita_PPP,Life expectancy at birth_total,Fertility rate_total ,Adolescent fertility rate ,Contraceptive prevalence_ any methods,Births attended by skilled health staff,Mortality rate_under-5 ,Prevalence of underweight_weight for age,Immunization_measles ,School enrollment_secondary ,School enrollment_primary and secondary,Forest area,Water productivity_total,Improved water source ,Improved sanitation facilities,Energy use ,CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP growth (annual %),Inflation_GDP deflator (annual %),Agriculture_value added (% of GDP),Industry_value added (% of GDP),Services_value added (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Revenue_excluding grants (% of GDP),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),Net migration,GDP per capita (current US$),Inflation_consumer prices (annual %)
1960,180671000,1.701992777,0,0,0,69.77073171,3.654,84.9872,0,0,30.1,0,0,0,0,0,0,0,0,5641.740755,15.99977916,4049.786629,0,0,0,0,0,4.969630039,4.196576477,22.52898951,0,0,8.352659672,0,0,6.806975888,0,0,3007.123445,1.509929427
1961,183691000,1.657730037,9629090,0,0,70.27073171,3.62,82.7346,0,0,29.5,0,0,0,0,0,0,0,0,5612.079503,15.68125552,4182.175501,2.3,1.350153896,0,0,0,4.899698207,4.02982425,22.47470265,0,0,8.487129416,0,0,6.566518729,0,0,3066.562869,1.075181891
1962,186538000,1.537997358,9629090,3280,0,70.1195122,3.461,80.482,0,0,28.9,0,0,0,0,0,0,0,0,5774.586315,16.0139375,4433.606021,6.1,1.244634712,0,0,0,4.809122459,4.131548504,23.07056685,0,0,8.656585688,0,0,6.530507354,0,1829274,3243.843078,1.116071429
1963,189242000,1.439164762,9629090,3410,0,69.91707317,3.319,77.9506,0,0,28.3,0,0,0,0,0,0,0,0,5986.783954,16.48276215,4690.486256,4.4,1.088386011,0,0,0,4.870028187,4.087065456,23.14437833,0,0,8.189007203,0,0,6.581146257,0,0,3374.515171,1.214128036
1964,191889000,1.389046055,9629090,3610,0,70.16585366,3.19,75.4192,0,0,27.7,0,0,0,0,0,0,0,0,6136.93823,16.96811858,4970.446456,5.8,1.503939679,0,0,0,5.103528726,4.097404491,23.11169437,0,0,7.467629046,0,0,6.850933217,0,0,3573.941185,1.308615049
1965,194303000,1.250171646,9629090,3880,0,70.21463415,2.913,72.8878,0,0,27.1,0,0,0,0,0,0,0,0,6307.890202,17.45172525,5234.685002,6.4,1.919825811,0,0,0,4.98857066,4.235578862,23.86715073,0,0,6.968804626,0,0,6.825789969,0,0,3827.52711,1.66846071
1966,196560000,1.154893191,9629090,4190,0,70.21219512,2.721,70.3564,0,0,26.4,0,0,0,0,0,0,0,0,6591.340558,18.12107301,5590.33374,6.5,2.898778535,0,0,0,5.018404908,4.552147239,24.26993865,0,0,7.800245399,0,0,7.144208589,0,0,4146.316646,2.991000529
1967,198712000,1.088881207,9629090,4370,0,70.56097561,2.558,67.825,0,0,25.7,0,0,0,0,0,0,0,0,6809.820484,18.59831788,5888.340915,2.5,3.151279366,0,0,0,5.048160613,4.630381803,23.24474875,0,0,8.755715446,0,0,7.016223744,0,1549465,4336.426587,2.775636083
1968,200706000,0.998461044,9629090,4740,0,69.95121951,2.464,66.466,0,0,24.9,0,0,0,0,0,0,0,0,7073.478949,19.08938916,6385.459329,4.8,4.367188241,0,0,0,5.082228117,4.944297082,22.93899204,0,0,8.565729443,0,0,7.438175066,0,0,4695.92339,4.217721097
1969,202677000,0.977242812,9629090,5070,0,70.50731707,2.456,65.107,0,0,24.1,2,0,0,0,0,0,0,0,7332.368547,19.85794566,6904.8338,3.1,4.95848845,0,0,0,5.08873419,4.95146583,23.76703598,0,0,7.985390725,0,0,7.503706246,0,0,5032.144743,5.414700472
1970,205052000,1.165002667,9629090,5360,0,70.80731707,2.48,63.748,67.6,0,23.3,0,0,0,0,0,0,0,0,7569.076595,21.11125227,7236.657043,3.206807257,2.211441675,0,0,0,5.549854817,5.182714865,21.36306516,0,0,7.42143205,0,0,7.959036476,0,0,5246.883717,5.895295903
1971,207661000,1.264333692,9629090,5700,0,71.10731707,2.266,62.389,0,0,22.4,0,0,83.84320068,0,0,0,0,0,7644.524802,20.98020348,7517.304646,3.295476728,5.077700631,0,0,0,5.391815169,5.338551256,21.86502479,0,0,6.410680185,0,0,7.920909083,0,0,5623.443978,4.255928924
1972,209896000,1.070522752,9629090,6290,0,71.15609756,2.01,61.03,0,0,21.5,0,0,84.84906006,0,0,0,0,0,7940.997832,21.74864198,8076.409269,5.263262776,4.329220317,0,0,0,5.524118308,5.78705274,22.52185467,16.67824607,0,6.053963939,0,0,8.471681915,0,2940497,6109.925868,3.305614735
1973,211909000,0.954476729,9629090,7310,0,71.35609756,1.879,59.3726,69.6,0,20.6,0,0,0,0,0,0,0,0,8163.603792,22.51058213,8573.194154,5.643124848,5.442039936,0,0,0,6.669004703,6.381230185,23.2799715,17.07606809,0,5.485146117,0,0,10.12236892,0,0,6741.332364,6.220063864
1974,213854000,0.913660196,9629090,8000,0,71.95609756,1.835,57.7152,0,0,19.7,0,0,85.16272736,0,0,0,0,0,7909.58648,21.50293038,8449.928456,-0.517154562,8.983063068,0,0,0,8.177231127,8.229787097,22.64228689,17.92455571,0,5.546527206,0,0,13.57880974,0,0,7242.441105,11.03526022
1975,215973000,0.985986067,9629090,8530,0,72.60487805,1.774,56.0578,79,0,18.8,0,0,85.18713379,0,0,0,0,0,7656.263579,20.40222407,8522.394003,-0.197678537,9.261424055,0,0,0,8.212748598,7.266701916,20.2288559,17.26721704,41.67152677,5.234104811,0,0,12.71437478,0,0,7820.065471,9.131930735
1976,218035000,0.950220049,9629090,8980,0,72.85609756,1.738,54.4004,67.7,0,17.9,0,0,85.36267853,0,0,0,0,0,8100.562222,21.15761537,8968.775655,5.386090051,5.488939826,0,0,0,7.963146315,8.050013129,21.9891009,16.56647601,47.0337726,4.847338632,0,0,13.27725426,0,0,8611.401839,5.737027083
1977,220239000,1.005771996,9629090,9610,0,73.25609756,1.79,52.743,0,0,17.1,0,0,85.40564728,0,0,0,0,0,8285.570898,21.53248401,9337.724018,4.608597407,6.202967939,0,0,0,7.639201496,8.746274481,23.47950168,17.80051401,39.99317338,4.838320747,0,0,13.59538167,0,3926811,9471.306172,6.486460064
1978,222585000,1.05957308,9629090,10790,0,73.35609756,1.76,52.5098,0,0,16.3,0,0,85.09819794,0,0,0,0,0,8438.403077,21.97300469,9560.54541,5.561684929,7.021273092,0,0,0,7.930378503,9.006772976,24.77937223,17.6769552,36.57691621,4.635845896,0,0,14.08368345,0,0,10587.28576,7.647463851
1979,225055000,1.103576565,9629090,12230,0,73.80487805,1.808,52.2766,0,0,15.6,0,0,78.57421875,0,0,0,0,0,8327.041705,21.78043698,9700.695386,3.17569075,8.255897781,0,0,0,8.743028019,9.599592423,25.06537829,18.56358108,37.74836322,4.645606261,0,0,15.52313077,0,0,11695.55442,11.26604409
1980,227225000,0.959589923,9629090,13410,0,73.6097561,1.8395,52.0434,0,0,15,0,86,90.8430481,0,0,0,0,0,7942.253018,20.78648774,9862.365497,-0.244596225,9.018535344,0,0,0,9.808646622,10.26475063,23.26808861,19.07001036,47.5037703,4.827624755,0,0,16.85761248,96.7032967,0,12597.66751,13.50937033
1981,229466000,0.981415437,9629090,14400,0,74.0097561,1.812,51.8102,0,0,14.4,0,97,89.5338974,1.031999946,0,0,0,0,7647.538054,19.76676417,9976.693715,2.594470388,9.336242988,0,0,0,9.506171994,9.896087022,24.24743285,19.92521853,39.35154203,5.290885331,0,0,15.94749352,94.50549451,0,13993.16674,10.31553398
1982,231664000,0.953317566,9629090,14230,0,74.36097561,1.8275,51.577,69.5,0,13.9,0,97,92.75406647,1.02737999,0,12.69184654,0,0,7259.078899,18.59049523,9544.460943,-1.910891068,6.203739761,0,0,0,8.466659552,9.063791203,22.06232543,19.71933557,43.55363587,6.386444687,0,0,14.09050129,95.40229885,3402260,14438.97628,6.160616062
1983,233792000,0.914378513,9629090,14590,0,74.46341463,1.799,51.9174,0,0,13.4,0,98,92.92421722,1.017549992,0,0,0,0,7199.118533,18.57154371,9742.005714,4.632457181,3.948367013,0,0,0,7.613677,9.033139764,22.22793699,17.95754256,49.72419675,5.871851445,0,0,13.07034342,92.04545455,0,15561.4264,3.212435233
1984,235825000,0.865817336,9629090,16230,0,74.56341463,1.8065,52.2578,0,0,13,0,98,94.91506195,1.020959973,0,0,0,0,7443.320017,18.97675027,10282.37464,7.259086959,3.548237335,0,0,0,7.483444053,10.02568124,25.07658464,17.77714862,39.65061686,5.728200583,0.038253436,0,14.11490554,91.86046512,0,17134.28602,4.317269076
1985,237924000,0.886129041,9629090,17510,0,74.56341463,1.844,52.5982,0,0,12.7,0,97,93.9609375,1.019950032,0,0,0,0,7456.262903,18.88231274,10414.2079,4.238737521,3.199612387,0,0,0,6.975559121,9.59865499,24.14507076,18.20792347,52.93302742,5.93928683,0.140659444,0,13.14269518,91.76470588,0,18269.42217,3.561116458
1986,240133000,0.924164157,9629090,19160,0,74.61463415,1.8375,52.9386,0,0,12.4,0,97,95.04894257,1.022899985,0,0,0,0,7376.096238,18.72072272,10424.4273,3.511614499,2.017623956,0,0,0,6.993227898,9.866050275,23.68611953,17.93120276,55.29099126,6.124085134,0.279060364,0,13.27739477,102.2988506,0,19115.05291,1.858736059
1987,242289000,0.893829201,9629090,21460,0,74.76585366,1.872,53.279,0,0,12.1,0,82,95.24610138,1.013389945,0,0,0,0,7622.173017,19.35033442,10886.85826,3.461747692,2.551295486,0,0,0,7.472849772,10.44540726,23.54754829,18.68130311,51.98470007,5.916717879,0.498659917,0,13.93293153,103.125,3428740,20100.85889,3.740875912
1988,244499000,0.90799904,9629090,23580,0,74.76585366,1.934,54.5456,74.3,0,11.9,0,98,0,0,0,0,0,0,7849.75397,20.01041341,11298.33251,4.203971979,3.500903602,0,0,0,8.464351851,10.5469661,22.75733542,18.32548996,52.92474873,5.579929593,0.829863407,0,14.88719268,103.960396,0,21483.23306,4.009088244
1989,246819000,0.944405555,9629090,23860,0,75.01707317,2.014,55.8122,0,99,11.6,0,94,0,0,0,0,0,0,7890.287202,20.07576978,11531.93231,3.680524033,3.888019538,0,0,0,8.913368046,10.44651946,22.44965748,18.49782235,59.78114401,5.374717221,1.39281703,32.16238957,15.14281528,102.9411765,0,22922.43709,4.82700303
1990,249623000,1.12965052,9629090,24150,23730,75.21463415,2.081,57.0788,70.7,99.2,11.2,0,90,91.00752258,1.004969954,3024500,0,98.4,99.5,7671.773066,19.32275118,11713.3317,1.919370297,3.699156703,0,0,0,9.229296529,10.53130909,21.46999401,18.15576288,51.73346362,5.120251576,2.075802366,32.52996733,15.22812019,102.7027027,0,23954.47935,5.39795644
1991,252981000,1.336260741,9629090,24370,24180,75.36585366,2.0625,58.3454,0,99.2,10.9,0.899999976,87,90.87973785,1.006590009,3025586,0,98.4,99.5,7631.467806,19.05616319,12134.17213,-0.074084531,3.328513079,0,0,0,9.636019704,10.09949234,20.05874757,18.08458412,67.37230693,4.539845285,2.939643902,32.40150439,15.06456952,103.6697248,0,24405.16481,4.234963965
1992,256514000,1.386885692,9629090,25780,25180,75.61707317,2.046,59.612,0,99.3,10.5,0,83,0,0,3026672,16.77049079,98.5,99.6,7677.401401,19.13943728,12014.95825,3.555396148,2.279550581,0,0,0,9.680747126,10.21199673,20.01939046,17.59714612,69.5157692,4.666264687,4.249049037,32.56328763,15.32405844,103.6036036,4516808,25492.95165,3.028819678
1993,259919000,1.31868,9629090,26480,26000,75.4195122,2.0195,57.9556,0,99.4,10.1,0,84,95.36197662,0.996420026,3027758,0,98.5,99.6,7709.496589,19.34708291,12261.52378,2.745856719,2.379261482,0,0,0,9.519215645,10.46668871,20.33390379,17.99274225,76.33805645,4.326925453,6.103716586,31.4651345,15.52921635,103.8461538,0,26464.85251,2.951656966
1994,263126000,1.226296089,9629090,27750,27350,75.6195122,2.0015,56.2992,0,99.4,9.8,0,89,96.47335815,0.998679996,3028844,0,98.6,99.6,7757.830822,19.36089205,12455.16217,4.037643425,2.128132874,0,0,0,9.864046613,11.12946049,21.21640553,18.20351072,70.2956914,3.941286854,9.104921407,30.99909101,16.44386766,104.6728972,0,27776.63553,2.607441592
1995,266278000,1.190787091,9629090,29150,28550,75.62195122,1.978,54.6428,76.4,99.4,9.5,0,88,95.05888367,1.00830996,3029930,0,98.6,99.6,7763.755106,19.27654526,12659.60763,2.718975789,2.085676645,0,0,0,10.60551457,11.77666928,21.20499448,18.72088684,90.70944121,3.63848926,12.6047249,30.30063758,17.68768773,105.1282051,0,28782.17502,2.805419689
1996,269394000,1.16341162,9629090,30380,29980,76.02682927,1.976,52.9864,0,99.4,9.2,0,91,94.72489166,0.999890029,3031016,0,98.7,99.7,7844.468266,19.49602474,12854.29891,3.795881229,1.825553431,0,0,0,10.71072187,11.90051951,21.629225,18.88879054,104.6948958,3.350744012,16.23815248,30.75878968,17.86496409,103.4482759,0,30068.23092,2.9312042
1997,272657000,1.203960297,9629090,31390,31620,76.42926829,1.971,51.33,0,99.4,8.9,0,91,0,0,3032102,0,98.7,99.7,7828.581096,19.69036318,12889.83228,4.487026493,1.711503645,1.382525903,23.94726353,74.67021057,11.07979715,12.26432201,22.36306727,19.34607769,125.1103471,3.209903218,20.14238484,31.72874829,18.44919826,103.7037037,8612074,31572.69023,2.337689937
1998,275854000,1.165714526,9629090,32150,33230,76.5804878,1.999,49.7042,0,99.4,8.7,0,92,94.82893372,1.036350012,3033188,0,98.7,99.7,7803.697605,19.5792362,13154.76303,4.449910963,1.085256199,1.256535233,23.41509526,75.32836951,10.48479905,12.2749409,22.84840593,19.77122659,142.1756095,3.017635938,24.89063952,33.21589023,17.89482822,104.8543689,0,32949.19776,1.552279099
1999,279040000,1.148340047,9629090,33780,34850,76.58292683,2.0075,48.0784,0,99.4,8.6,0,92,94.04444122,0,3034274,0,98.8,99.7,7923.223893,19.72716951,13281.86998,4.685199608,1.530321885,1.190550642,23.26302222,75.54642714,10.26828081,12.92474482,23.31795337,19.72181093,152.9651439,2.908393909,30.57610298,34.25823054,18.16898163,104.950495,0,34620.9289,2.188027197
2000,282162411,1.112768997,9632030,36070,36930,76.63658537,2.056,46.4526,0,99.4,8.4,0,91,93.17204285,1.000120044,3035360,0,98.8,99.7,8056.86385,20.17875051,13671.05202,4.092176449,2.275519805,1.189219338,23.15624289,75.65453777,10.66464335,14.3185381,23.5689255,20.50846207,146.8942697,2.933432016,38.46809105,33.78761058,19.8469797,100,0,36449.85512,3.376857271
2001,284968955,0.989741382,9632030,36840,37860,76.83658537,2.0305,44.8268,0,99.4,8.3,1.100000024,91,93.95050812,1.008200049,3037802,0,98.8,99.8,7827.886325,19.63650507,13046.61415,0.975981834,2.278900887,1.164848337,22.13450944,76.70064222,9.666070536,13.13706572,22.05149134,19.43711363,131.6503267,2.944343646,44.69057874,32.5915242,17.9656526,102.7989817,0,37273.6181,2.826171119
2002,287625193,0.927797486,9632030,37470,38590,76.93658537,2.0205,43.201,72.8,99.5,8.2,1.299999952,91,93.28764343,1.003710032,3040244,23.36210081,98.9,99.8,7843.344849,19.61340408,13296.1823,1.786127687,1.535124592,1.002199564,21.27075325,77.72704718,9.13238644,13.01727331,21.57652179,17.31575109,100.7006687,3.249551766,48.85103822,31.75945204,17.24737495,104.3580461,5206538,38166.03784,1.586031627
2003,290107933,0.859481713,9632030,39950,39960,77.03658537,2.0475,42.4946,0,99.3,8.1,0,93,95.00524139,1.006629944,3042686,0,98.9,99.8,7794.23553,19.56410453,13307.49201,2.806775956,1.994056263,1.168204218,21.38254862,77.44924716,9.037519102,13.41306805,21.6599668,16.70044402,123.9394896,3.607287847,54.84681409,30.82052135,17.61688069,102.9774976,0,39677.19835,2.270094973
2004,292805298,0.925483969,9632030,43680,42260,77.48780488,2.0515,41.7882,0,99.3,8.1,0,93,95.50248718,1.013260007,3045128,0,98.9,99.8,7881.578642,19.65837118,13388.58971,3.78574285,2.749721159,1.294525739,21.66340561,77.04206865,9.625368067,14.66955244,22.52672684,16.76459528,132.9842939,3.785570066,62.54719598,30.27626713,19.06776968,100.7303294,0,41921.80976,2.677236693
2005,295516599,0.921713167,9632030,46340,44740,77.48780488,2.057,41.0818,0,99.4,8,1.100000024,92,95.67317963,1.009989977,3047570,0,99,99.8,7846.499688,19.59188523,13704.57705,3.345216063,3.21763825,1.17902686,21.93348557,76.88748757,9.996398275,15.50426517,23.22295273,17.85015205,129.8397757,3.844230435,68.31769507,29.90198855,20.11488556,97.29906209,0,44307.92058,3.392746845
2006,298379912,0.964253917,9632030,48080,47390,77.68780488,2.108,40.3754,0,99.4,7.9,0,92,95.40374756,1.007449985,3055496,0,99,99.9,7697.652535,19.09406652,13583.26696,2.666625826,3.072266625,1.057632754,22.33654257,76.60582467,10.65479167,16.21883058,23.33301482,18.573151,141.2321787,3.808200528,76.29353842,30.05699929,21.24760246,95.95419253,0,46437.06712,3.225944101
2007,301231207,0.951055243,9632030,48640,48420,77.98780488,2.12,39.669,0,99.3,7.8,0,92,96.07393646,1.007539988,3063422,26.7699063,99,99.9,7758.165986,19.21789784,13657.45283,1.77857024,2.661336394,1.086915319,22.15690316,76.75618153,11.49790694,16.46102419,22.35135297,18.65066359,137.6072806,3.847044079,82.06414479,27.2226646,21.88618514,96.5623271,5033689,48061.53766,2.852672482
2008,304093966,0.945865287,9831510,49330,48640,78.03902439,2.072,37.7398,77.1,99.3,7.6,0,92,95.97541809,1.003810048,3071348,0,99,99.9,7488.081921,18.46176387,13663.42797,-0.291621459,1.961612383,1.152771009,21.64892218,77.19830681,12.51439847,17.42701165,20.78624354,17.77063171,78.74588585,4.220046469,85.20916517,25.92033217,23.48683521,91.81228916,0,48401.42734,3.839100297
2009,306771529,0.876651299,9831510,48050,47250,78.3902439,2.002,35.8106,0,99.3,7.5,0.800000012,90,95.41825104,1.013849974,3079274,0,99.1,99.9,7056.783653,17.15773779,12913.71469,-2.775529574,0.759434764,1.05626864,20.215854,78.72787736,11.01165643,13.75417087,17.512933,15.72761668,104.5672977,4.636792441,88.62364611,21.48768979,18.45749965,98.95366076,0,47001.55535,-0.355546266
2010,309348193,0.836421536,9831510,48950,48880,78.54146341,1.931,33.8814,76.4,99.4,7.3,0,92,94.31130981,1.004789948,3087200,0,99.1,99.9,7160.939243,17.44161513,13393.99128,2.531920616,1.221349397,1.174091393,20.39070263,78.43520598,12.37830094,15.80415135,18.39459751,16.49549343,115.4973405,4.665615102,91.31165202,19.96801385,21.70274102,97.10833424,0,48373.87882,1.640043442
2011,311663358,0.745614384,9831510,50460,50710,78.64146341,1.8945,31.9522,0,99.3,7.2,0,92,94.67604828,1.00869,3089950,0,99.1,100,7028.152876,16.97241709,13242.48711,1.601454672,2.064627467,1.366778271,20.62965554,78.00356619,13.57379201,17.31137267,18.54475592,16.72937479,100.7912207,4.583975977,94.44042596,18.10568304,24.15614036,94.74950163,0,49790.66548,3.156841569
2012,313998379,0.746419895,9831510,52540,52850,78.74146341,1.8805,30.023,0,99.3,7,0.5,91,94.98032379,0.998399973,3092700,32.0060991,99.1,100,6869.385326,16.30402162,12959.20384,2.224030854,1.842051483,1.241406556,20.54390932,78.21468412,13.6066085,17.10801903,19.35060635,16.84558987,115.5557941,4.238744607,96.01037609,17.77688509,24.03073811,94.68727014,4500000,51450.1223,2.069337265
2013,316204908,0.7002623,9831510,53660,54000,78.74146341,1.8575,27.0666,0,99.2,6.9,0,92,95.92958069,0.999539971,3095450,0,99.2,100,6902.43283,16.31587885,12998.062,1.67733153,1.615007088,1.426344348,20.7208741,77.85278156,13.63931151,16.58694653,19.76226007,18.97311071,143.9944226,3.832509651,97.07773939,17.81869687,23.41700158,95.37239643,0,52787.02695,1.464832656
2014,318563456,0.74312426,9831510,55350,56160,78.74146341,1.8625,24.1102,0,98.5,6.8,0,92,97.56468964,1.006090045,3098200,33.31436429,99.2,100,6956.813731,16.49366613,12986.7407,2.370457671,1.790351672,1.251786208,20.86735896,77.88085483,13.64706459,16.57643837,20.18477094,19.08393229,151.3852312,3.506642834,110.2041935,18.22938292,23.18780567,95.71643533,0,54598.55069,1.622222977
2015,320896618,0.729731987,9831510,56250,57900,78.74146341,1.843,21.1538,0,0,6.6,0,92,0,0,3100950,0,99.2,100,6800.654493,0,0,2.861587025,1.284972955,1.052210839,20.02727417,78.92051499,12.49904391,15.39099398,20.42799748,19.15352784,138.336379,3.289106814,117.5867444,18.99152452,21.06911148,96.96738446,0,56469.00897,0.118627136
2016,323127513,0.692801346,9831510,56810,58700,0,0,0,0,0,6.5,0,92,0,0,0,0,0,0,0,0,0,1.485279193,1.275800039,0,0,0,11.89062242,14.68929997,19.68878586,18.69559276,146.8615933,3.281630451,127.1579358,19.96175562,19.87258476,100.1588208,0,57638.15909,1.261583206
2017,0,0,9831510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0